Name,Rank,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Bacteroides,Genus,Bacteria,,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,,682000000,1040000000,27000000,6094400,80702000,220763700,0,18734861200,437549300,79828236500,7710651000,33404447500,29495073700,26047000,736882100,16780000,0,0,0,17360400,138710000,0,0,0,0,0,51684000,1388333900,4216560400,1575899200
Escherichia,Genus,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,,14300000,0,70400000,0,40827800,1047100,0,0,504242000,125405000,0,0,0,0,32432000,773989600,138325100,0,0,0,157708000,3414800,0,24262000,39609000,471728300,35969700,187650000,0,0
Escherichia coli,Species,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,3990200,0,0,0,0,0,0,0,411667000,125405000,0,0,0,0,0,397912500,19865100,0,0,0,0,0,0,0,0,292877300,0,0,0,0
Parabacteroides distasonis,Species,Bacteria,,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,Parabacteroides distasonis,147000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betaproteobacteria,Class,Bacteria,,Proteobacteria,Betaproteobacteria,,,,,0,41100000,0,0,10950000,17812000,0,19094000,0,3819478300,6597860000,8334003300,13090276000,10335677200,0,10360000,113920000,0,0,55276500,0,0,0,0,0,0,0,0,0,0
Veillonellales,Order,Bacteria,,Firmicutes,Negativicutes,Veillonellales,,,,1650000000,133000000,0,8141570,1787909500,7517507500,688153300,17223341700,0,3074621600,0,0,18593409000,4987785600,0,1676000,1453950800,2170985800,7914088800,708178700,10352017150,7693962300,284816810,7098874600,3417407600,3536491000,5610493200,32246300,1134808100,14140772620
[Eubacterium] eligens,Species,Bacteria,,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,[Eubacterium] eligens,0,0,35900000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8799400,19439000,0,0,0,0,0,0,0,0,0,0
Selenomonadaceae,Family,Bacteria,,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,,,0,64200000,0,0,0,0,0,0,0,34712000,0,0,32008300,0,0,0,0,0,50336000,0,67458000,0,0,0,0,0,23413000,0,0,23122500
Ruminococcaceae,Family,Bacteria,,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,,,175000000,549000000,593000000,0,182156900,1764159600,0,8979728200,55209300,19303152200,0,77463000,1966031000,6520134900,0,3853800,31539000,0,1385174000,12683654500,5263410100,2302531900,0,253275100,21748500,60616900,1972182300,2576744000,52180000,3328418220
Enterococcus,Genus,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,106000000,0,0,0,0,0,0,128264000,3652700,10931000,0,0,29207000,5021485000,0,0,0,0,441170000,306650000,371916000,0,16979000,2528563700,1001517200,618787000,26188000,19692000,14869000,0
Blautia obeum,Species,Bacteria,,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia obeum,0,4050000000,871000000,0,0,0,0,4333331000,0,2146875000,0,0,0,0,0,0,0,0,0,0,3265577100,0,0,0,0,0,0,0,0,400001200
Enterococcus faecium,Species,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,87800000,0,0,0,0,0,0,0,0,0,0,0,0,182666000,0,0,0,0,0,0,134986000,0,0,1960887400,622956100,405544000,0,0,0,0
Roseburia,Genus,Bacteria,,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,,0,0,128000000,0,103990000,50242000,0,0,0,404810000,0,0,0,187327000,0,0,0,0,0,938994000,494285000,20643901800,0,0,0,0,405603000,0,33786000,147898400
Faecalibacterium prausnitzii,Species,Bacteria,,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,0,0,193000000,0,0,0,0,8885685700,17022700,15184682800,0,0,0,0,0,0,0,0,1374200000,0,58051000,114040000,0,0,0,0,0,0,0,2345001720
Blautia,Genus,Bacteria,,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,,0,4120000000,911000000,0,738085000,861050000,0,4695151000,116553200,6975138300,0,83673000,1004897000,88285000,0,0,0,0,34013000,242571009960,16121567900,1369874000,0,1223759100,0,0,4153853800,0,0,529838200
Negativicutes,Class,Bacteria,,Firmicutes,Negativicutes,,,,,1870000000,207000000,0,13787170,1839504100,7598496500,688153300,17818867700,0,25979635600,0,39905000,21562889200,5068196600,0,1676000,1531164800,2617173800,8601249800,708178700,10573530150,8035208300,284816810,7113571600,3499322900,3629133000,6008396200,32246300,1134808100,14317878920
Selenomonadales,Order,Bacteria,,Firmicutes,Negativicutes,Selenomonadales,,,,0,64200000,0,0,0,0,0,0,0,34712000,0,0,32008300,0,0,0,0,0,446610000,0,67458000,0,0,0,0,0,23413000,0,0,23122500
Archaea,Superkingdom,Archaea,,,,,,,,0,90500000,235000000,0,0,0,0,33234000,0,59072000,0,0,0,0,0,0,0,0,0,0,0,0,15357000,32823000,0,0,0,0,0,0
Bifidobacterium pseudocatenulatum,Species,Bacteria,,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudocatenulatum,13700000,285000000,0,0,0,0,0,311258000,0,0,419851000,503012000,203209000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hominidae,Family,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,,,2550000000,2020000000,629000000,1198926700,2487818700,1714153800,23548052400,29227905200,5495334300,48468917800,113737839200,67804354500,85345901500,46005881300,9727638650,42941689520,27690186400,7756124700,20278300500,10465210700,16309757900,8417244600,6472265500,33852796210,4586410300,12384426400,35730458000,23615769420,15583026000,12055092700
Homo,Genus,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,,878000000,750000000,243000000,377388600,671200000,1291193600,6035995700,12284939100,4275505200,17032758000,35175704500,36401832000,34603494000,33143164000,3396924100,13540949600,11320551000,4356827100,2227475700,3265896500,4752056000,1195979000,2938077300,5837324900,1024990800,4276343300,5556734100,8286906600,4111993300,2688304500
Homo sapiens,Species,Eukaryota,Metazoa,Chordata,Mammalia,Primates,Hominidae,Homo,Homo sapiens,878000000,750000000,243000000,377388600,671200000,1291193600,6035995700,12284939100,4275505200,17032758000,35175704500,36401832000,34603494000,33143164000,3396924100,13540949600,11320551000,4356827100,2227475700,3265896500,4752056000,1195979000,2938077300,5837324900,1024990800,4276343300,5556734100,8286906600,4111993300,2688304500
Coriobacteriaceae,Family,Bacteria,,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,,,7040000000,5190000000,737000000,0,0,0,0,206085900,0,22327270250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042838100
Bifidobacterium,Genus,Bacteria,,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,2020000000,16000000000,13700000000,205791000,1014880000,35526695420,95204494500,108720367180,5798215360,7447641700,2059607486250,1790628538480,2011512659290,1248576398610,114166143170,610792060,75634332700,26751201500,127478873680,26371197010,127975000,22610942920,87613551290,1898603110,61895400,48242699400,59312560400,1028875300,53992941500,128224305170
Anaerostipes,Genus,Bacteria,,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,,0,27500000,0,0,117704700,39189000,0,0,0,0,0,0,175736000,388181000,0,0,0,0,0,322812000,48968000,6979700,0,0,0,0,36304000,0,0,4618300
Ruminococcus lactaris,Species,Bacteria,,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Ruminococcus lactaris,0,313000000,29300000,0,0,0,0,29312000,0,68273000,0,0,105359000,132240000,0,0,0,0,0,0,701567000,0,0,0,0,0,0,0,0,0
Bifidobacterium breve,Species,Bacteria,,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium breve,0,10100000,44300000,41172000,135176200,1665455220,30355000,1802901260,0,78463600,8900724000,6444620000,21241435000,1301544000,76395000,0,1112300000,0,60489000,0,0,2418427820,264720000,0,0,67191000,0,0,186950100,562628000
Lactobacillaceae,Family,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,,,4076900,506240,0,0,0,15844033700,0,8082700,739829000,81804000,0,1766183000,8788023000,4437757700,0,0,0,0,2268508700,13197680800,5024146300,290943400,4554147300,26518800,1104118900,3499700,2186492500,5204000,7271900,330427200
Marvinbryantia,Genus,Bacteria,,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,,0,10600000,0,0,0,0,0,0,0,74629800,0,0,0,0,0,0,0,0,0,0,362707000,0,0,0,0,0,55965000,0,42074000,11607000
Clostridiales,Order,Bacteria,,Firmicutes,Clostridia,Clostridiales,,,,904000000,14100000000,4960000000,1480939600,7895180600,25902186550,1125725200,88906995700,1572530200,205791263020,824072300,14520236900,66083736100,222688419400,0,2259245700,1216360100,480162400,99750795200,394561328850,372839678680,81847870170,6138410070,33813617520,9501726120,10177053400,109401950350,3473321400,4920661800,14374995600
Lachnospiraceae,Family,Bacteria,,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,,,0,4470000000,1240000000,0,1095503100,1083631400,12779000,5071382000,269661900,32326178000,75397700,399168000,2733203000,6961351000,0,50296300,86753000,158121000,6706975800,291972835060,33096314700,26447362800,1015079000,3757675100,435859000,263148000,8593773100,77081000,539481400,1626753100
Clostridia,Class,Bacteria,,Firmicutes,Clostridia,,,,,904000000,14100000000,4960000000,1480939600,7895180600,25902186550,1125725200,89205598700,1572530200,206083281520,824072300,14520236900,66147493100,223813477400,0,2259245700,1216360100,480162400,100099338200,394597097850,372963832680,82514559670,6172465070,33897418620,9538846120,10255107400,114262761350,3473321400,4972384800,14451685600
Bacilli,Class,Bacteria,,Firmicutes,Bacilli,,,,,1300000000,3000000000,247000000,1442914900,6615664400,19023117300,414840800,24726300500,150423572080,19263374300,161937000,5055908000,11883437700,39517144600,35201700,1035720900,108441800,7241297900,6079137900,40879616540,10437067100,53162848820,16418131800,3961822440,3118315600,1396211700,69811739900,4393509900,24627374600,43019421340
Eubacteriaceae,Family,Bacteria,,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,,,10100000,424000000,91600000,0,0,0,0,233910000,0,910760900,0,216734900,118668000,210625000,0,0,0,54699600,1389653400,3743456100,5885488600,419622600,42357900,156576900,28823900,38907000,589691000,13273000,14301000,283436700
Peptostreptococcaceae,Family,Bacteria,,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,,,34400000,0,0,0,0,0,25482000,1209225100,0,787677000,0,0,66717000,1566345500,0,0,0,0,0,0,330300000,736423000,0,500847000,0,86899000,1442928000,0,0,105221580
Metazoa,Kingdom,Eukaryota,Metazoa,,,,,,,16900000000,11700000000,5110000000,23157044230,14395856250,13069891300,60199563100,154971361430,19608258320,177884708100,253937230700,139797177500,178361054700,196086322200,20970372550,122722520070,63997312900,30002617000,59050904480,69986426200,82357778000,128235823140,68342945900,99248677910,23176722400,84198673700,125106790700,119201733620,60161962700,63932311200
Collinsella aerofaciens,Species,Bacteria,,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,58000000,157000000,0,0,0,0,0,0,0,1398474500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403668100
Hungatella hathewayi,Species,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hungatella,Hungatella hathewayi,57400000,0,0,0,21686200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterococcaceae,Family,Bacteria,,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,,,106000000,0,0,0,0,0,0,128264000,3652700,10931000,0,0,29207000,5709396000,0,0,0,0,441170000,306650000,371916000,0,16979000,2528563700,1008956700,618787000,26188000,19692000,14869000,0
Bacteroidia,Class,Bacteria,,Bacteroidetes,Bacteroidia,,,,,1620000000,1310000000,59200000,126816200,328467600,2593520700,476874000,19729906200,19551340410,93294516200,11604809000,46012721700,45640838600,1670672000,1257324600,819536000,39512000,0,113169000,667768400,2570796740,1680523000,803320000,1920039000,82089000,462185800,596960000,1843722700,5387692200,2554388400
Eubacterium,Genus,Bacteria,,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,,10100000,424000000,91600000,0,0,0,0,180594000,0,869866900,0,8084900,118668000,50075000,0,0,0,54699600,1389653400,1770711100,5363738600,349292600,42357900,124905900,28823900,38907000,496996000,13273000,14301000,249492700
Marvinbryantia formatexigens,Species,Bacteria,,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,Marvinbryantia formatexigens,0,10600000,0,0,0,0,0,0,0,74629800,0,0,0,0,0,0,0,0,0,0,362707000,0,0,0,0,0,55965000,0,42074000,11607000
Burkholderiales bacterium YL45,Species,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,,,Burkholderiales bacterium YL45,0,41100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eukaryota,Superkingdom,Eukaryota,,,,,,,,17200000000,11900000000,6410000000,28355305530,18710301850,15404059100,60364777800,155704746230,21155515920,185218062100,260060260700,142519242500,189153054700,212689231200,21214338850,123236146470,64507990900,30495669000,59406663480,70891950100,85387899200,142983143540,101388721000,104770385910,24978750300,97083581400,128991907500,133821240820,63782366000,71005695300
Lactobacillales,Order,Bacteria,,Firmicutes,Bacilli,Lactobacillales,,,,1300000000,3000000000,247000000,1438885500,5420059900,18751622100,410368000,23527127800,148301105810,17460499000,161937000,2329208000,11665667700,35769566600,35201700,1035720900,108441800,7189880900,5901817900,39492071740,9759569800,51440971920,15366723900,3768292000,3007282900,1315290800,61804215700,4117727400,22163329600,39284103440
Proteobacteria,Phylum,Bacteria,,Proteobacteria,,,,,,12000000000,1970000000,831000000,2162073560,9062556510,2201134400,856437300,2296042000,171084167510,29952103590,28029852700,30829475800,42621792600,21637095900,1775548600,29625702160,6002297400,184724900,10916648680,30464998880,22750423700,10321996500,160626000,1951411900,2177104310,12538977600,4559968800,41523078650,5535052430,1296493500
Burkholderiales,Order,Bacteria,,Proteobacteria,Betaproteobacteria,Burkholderiales,,,,0,41100000,0,0,10950000,17812000,0,19094000,0,3760943300,6597860000,8334003300,13090276000,10335677200,0,10360000,113920000,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium,Genus,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,16900000,58000000,8751700,1473600000,15744100,890426200,753288500,54449307200,1108087000,5584353400,433265600,1469831000,1048532100,12829902000,0,2065746200,372419100,0,81060319100,8635935800,4182202800,1347763400,4478861070,22611157100,7105581020,3900315500,13348408500,252978200,515690100,1946085000
Bacteroidetes,Phylum,Bacteria,,Bacteroidetes,,,,,,1680000000,1360000000,67900000,126816200,328467600,2593520700,476874000,20267579900,19959473410,94804261500,11792114600,46754843700,46331529600,1677607400,1290579100,819536000,39512000,0,113169000,667768400,2570796740,1680523000,803320000,1920039000,84522600,462185800,596960000,1887357200,5646238900,2662272100
Bifidobacteriaceae,Family,Bacteria,,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,,,2630000000,26400000000,15800000000,205791000,1492931700,42261916620,114732703900,137516439780,7363278950,9568915700,2399227486800,2141692930880,2346523240890,1494197962810,137798278370,689056260,102516681400,33096334500,163806751280,28643929010,147930000,29424317020,102126278890,2380893610,83718800,55321124100,77146287100,1327987500,66549960500,152508234370
Enterobacterales,Order,Bacteria,,Proteobacteria,Gammaproteobacteria,Enterobacterales,,,,1620000000,1040000000,318000000,557752200,3645266400,681794900,814540000,756994000,97118384280,4541920600,3280039000,3307789000,8353908200,3820171100,589951600,16898566860,842506800,0,2308949080,15020670300,7548164500,879517900,16311000,1032736300,840772110,2624386500,1658503500,19572720370,2729752900,236209800
Gammaproteobacteria,Class,Bacteria,,Proteobacteria,Gammaproteobacteria,,,,,1980000000,1050000000,382000000,773922500,4625922300,705742100,846787000,1075705000,113716060930,6441778500,3721879000,4146940000,11465215200,7847214100,617020300,19324676360,945619000,3164900,2813881580,18154746600,10185085500,2404359800,16311000,1098336300,1200761410,4250460500,2149228500,27490049470,3280449700,649479500
Actinobacteria,Phylum,Bacteria,,Actinobacteria,,,,,,11100000000,35000000000,17800000000,205791000,1613676800,45156371220,116867372400,141227814580,7597837350,10355197300,2474845097200,2215353542580,2430657637090,1574433071610,142007559570,2615107960,105421179700,34153841100,171994918080,29341382310,149437600,32420940620,111168165290,2596873310,113635300,57440381600,79640912200,1373186300,69624785400,161425611270
Firmicutes,Phylum,Bacteria,,Firmicutes,,,,,,6690000000,26000000000,9670000000,4180446470,25294902300,71868337050,2584565600,160897942600,178002401720,333422280720,6034036300,27535366900,142344753670,417648886600,799514600,4068429310,3802662300,12502012900,126765086310,700218694150,619897173570,199832515720,26078709980,114785171660,52760728330,29293018700,265030739010,10084289800,37887673300,87405625030
Collinsella,Genus,Bacteria,,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,,7000000000,5150000000,737000000,0,0,0,0,206085900,0,21642618350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1033779400
Mammalia,Class,Eukaryota,Metazoa,Chordata,Mammalia,,,,,15100000000,10500000000,2000000000,16908531930,10824076750,9393113800,56917824700,136950530930,14758918370,157648557900,235676317700,132163506800,158996910100,144822025900,20223255850,116143393170,58167221300,25672306700,53676324080,53075527200,64507202700,37453278840,49248288300,84653628610,18979830200,39296094800,109421376700,97713168820,53554936600,40232399800
Primates,Order,Eukaryota,Metazoa,Chordata,Mammalia,Primates,,,,10900000000,7020000000,1150000000,5421809000,6332060950,5843466800,36078388600,85575785200,8755560090,115635233800,180775417700,111803801400,125858184500,79214650000,14994563950,88322797420,39083807300,13775022000,32754073600,28618092900,39032820600,18119941100,19047669100,50491409110,8428767000,23895638300,80282415500,62463751520,35359489900,21651524300
Bacteroides massiliensis,Species,Bacteria,,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides massiliensis,22800000,3495700,0,0,0,0,0,0,0,86156000,0,155360000,25830000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veillonellaceae,Family,Bacteria,,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,,,1650000000,133000000,0,8141570,1787909500,7517507500,688153300,17223341700,0,3074621600,0,0,18593409000,4987785600,0,1676000,1453950800,2170985800,7914088800,708178700,10352017150,7693962300,284816810,7098874600,3417407600,3536491000,5610493200,32246300,1134808100,14140772620
Peptostreptococcus,Genus,Bacteria,,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,,34400000,0,0,0,0,0,0,1138444100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridiaceae,Family,Bacteria,,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,,261000000,65100000,8751700,1473600000,299364300,890426200,753288500,54972662200,1108087000,6569031700,478555600,1469831000,1289333100,13291413800,0,2117928200,640349100,0,81772598100,8809557600,4345242800,1496862400,4512452070,22752431100,7166620720,4029176500,13390949500,252978200,2114309800,2198709600
Peptostreptococcus anaerobius,Species,Bacteria,,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus anaerobius,10500000,0,0,0,0,0,0,710085700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus,Genus,Bacteria,,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,,0,521000000,74400000,0,168039900,1725285600,0,33554000,23681000,568681000,0,77463000,1265750000,6067274900,0,3853800,31539000,0,0,12561086800,4253276700,1240491300,0,213847000,21748500,60616900,1928389300,15744000,29951000,312817900
Bifidobacterium longum,Species,Bacteria,,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,4323900,413000000,3150000000,0,0,1163969400,23255191800,437309400,605504300,503224600,189180445400,131501754900,119821143880,270900485700,19188468880,42904500,2324336700,4427452600,100182000,0,0,42528400,1219859800,145480000,0,216865000,0,0,330764000,1262350200
Parabacteroides,Genus,Bacteria,,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,,250000000,0,0,0,0,64291000,45340000,56828000,712958000,176695000,0,0,1231359000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Veillonella sp. DORA_A_3_16_22,Species,Bacteria,,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella sp. DORA_A_3_16_22,0,0,0,0,0,53255000,0,774334000,0,0,0,0,0,0,0,0,0,0,324441000,0,953419000,96723600,0,49815000,0,0,0,0,0,0
Dialister,Genus,Bacteria,,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Dialister,,0,0,0,0,42112400,158873000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366729000,0,0,0
